lat,long,elevation
-40,150,-4275.8
-40,155,-4636.5
-40,160,-4957.3
-40,165,-2593.8
-40,170,-843
-40,175,-6.7
-35,-175,-5596.5
-35,-170,-5216.7
-35,-165,-5300
-35,-160,-5069.5
-35,-155,-5448.2
-35,-150,-5249.5
-35,-145,-5032
-35,-140,-4921
-35,-135,-4472.6
-35,-130,-3711.8
-35,-125,-4048.7
-35,-120,-4013.5
-35,-115,-3350
-35,-110,-3039.7
-35,-105,-3157.3
-35,-100,-3648.3
-35,-95,-3260.8
-35,-90,-3783.5
-35,-85,-4003.5
-35,-80,-3957.6
-35,-75,-4233
-35,-70,4407
-35,-65,265.3
-35,-60,45
-35,-55,-23.2
-35,-50,-3643
-35,-45,-4846.2
-35,-40,-4843
-35,-35,-4452.9
-35,-30,-3216
-35,-25,-4114.2
-35,-20,-4008.5
-35,-15,-2426.5
-35,-10,-4118.2
-35,-5,-3052.7
-35,0,-4501.5
-35,5,-5207.5
-35,10,-5038.4
-35,15,-4633.5
-35,20,-74.2
-35,25,-1759
-35,30,-4431.7
-35,35,-2886
-35,40,-5130.8
-35,45,-2322.8
-35,50,-3745
-35,55,-2187.2
-35,60,-5115
-35,65,-4527.5
-35,70,-4285.9
-35,75,-3489.5
-35,80,-3122
-35,85,-4168.5
-35,90,-4008.5
-35,95,-4477.2
-35,100,-4515.5
-35,105,-5544
-35,110,-4745.7
-35,115,-609.7
-35,120,-3078.5
-35,125,-4515.5
-35,130,-3652.5
-35,135,-108.8
-35,140,61
-35,145,90.2
-35,150,563.2
-35,155,-3969.4
-35,160,-2971
-35,165,-1042.8
-35,170,-1922.5
-35,175,-607.3
-30,-175,-5581
-30,-170,-5413.7
-30,-165,-4869.6
-30,-160,-5084
-30,-155,-5102
-30,-150,-4289.7
-30,-145,-4618.8
-30,-140,-4173.3
-30,-135,-4126.5
-30,-130,-4321.5
-30,-125,-3754.8
-30,-120,-3651.8
-30,-115,-3144.7
-30,-110,-3221.2
-30,-105,-3350.5
-30,-100,-3708
-30,-95,-3894
-30,-90,-3499.5
-30,-85,-3888.8
-30,-80,-4056.2
-30,-75,-4270
-30,-70,3857.8
-30,-65,180.6
-30,-60,34.3
-30,-55,130.6
-30,-50,-22.5
-30,-45,-3557.3
-30,-40,-3191.8
-30,-35,-2143.4
-30,-30,-3451.3
-30,-25,-5319.5
-30,-20,-4757.3
-30,-15,-3838.5
-30,-10,-3786.4
-30,-5,-4505.8
-30,0,-3962.8
-30,5,-4979.5
-30,10,-4873.7
-30,15,-440.5
-30,20,977.5
-30,25,1479.6
-30,30,1312.8
-30,35,-2468.8
-30,40,-4958.5
-30,45,-2470.3
-30,50,-4278
-30,55,-4281.2
-30,60,-4114.3
-30,65,-4678.5
-30,70,-4489.2
-30,75,-3435.3
-30,80,-3429.3
-30,85,-3906.3
-30,90,-2489
-30,95,-2190.5
-30,100,-3594.5
-30,105,-5326.8
-30,110,-5504.5
-30,115,4.3
-30,120,489.4
-30,125,204.1
-30,130,157
-30,135,161.7
-30,140,26.3
-30,145,108.1
-30,150,358.9
-30,155,-4638.3
-30,160,-1679.5
-30,165,-3370.3
-30,170,-3027.7
-30,175,-4029.5
-25,-175,-6663.7
-25,-170,-5548.5
-25,-165,-5632.7
-25,-160,-5284.7
-25,-155,-5004.6
-25,-150,-4590.2
-25,-145,-2855.9
-25,-140,-4334.2
-25,-135,-4131
-25,-130,-3191.5
-25,-125,-2922.2
-25,-120,-2319
-25,-115,-3362
-25,-110,-3630.5
-25,-105,-3315.3
-25,-100,-2709.1
-25,-95,-3127
-25,-90,-2915.9
-25,-85,-4095
-25,-80,-4289.5
-25,-75,-3105
-25,-70,2015
-25,-65,965.2
-25,-60,115.3
-25,-55,256.6
-25,-50,936.4
-25,-45,-136.7
-25,-40,-3137
-25,-35,-4281.8
-25,-30,-4942.2
-25,-25,-5442.7
-25,-20,-4014
-25,-15,-3395.8
-25,-10,-3969
-25,-5,-4828.7
-25,0,-4950.2
-25,5,-3938.6
-25,10,-4384.8
-25,15,380.3
-25,20,1050.6
-25,25,1232.2
-25,30,1116.7
-25,35,-60.2
-25,40,-3824
-25,45,223
-25,50,-4912.3
-25,55,-4978.7
-25,60,-5084.5
-25,65,-3982.3
-25,70,-4025.8
-25,75,-3943.5
-25,80,-3601.2
-25,85,-4547.8
-25,90,-4783.5
-25,95,-5207
-25,100,-5087.5
-25,105,-5044.2
-25,110,-4045.7
-25,115,130.9
-25,120,628.7
-25,125,489.5
-25,130,574.7
-25,135,269
latitude,longitude,elevation
-25,140,63.9
-25,145,375.6
-25,150,175.3
-25,155,-2384
-25,160,-1106.5
-25,165,-3199.3
-25,170,-2196.7
-25,175,-4597.3
-20,-175,-1742.2
-20,-170,-5337.7
-20,-165,-4726
-20,-160,-4739
-20,-155,-4705.7
-20,-150,-4629.9
-20,-145,-2038.5
-20,-140,-1834
-20,-135,-3730.5
-20,-130,-4189.3
-20,-125,-3816.8
-20,-120,-3548.3
-20,-115,-3238
-20,-110,-3602.2
-20,-105,-3974
-20,-100,-4288.5
